,,,,,,,,,Process name,consumer (combined scenario-with recycling model),Downcycling (with recycling model),Incineration (for downcycling eol),Incineration (with recovery - film),Landfill,Landfill (for downcycling eol),"market for charcoal | charcoal | APOS, S","market for electricity, for reuse in municipal waste incineration only | electricity, for reuse in municipal waste incineration only | APOS, S","market for ethylene glycol | ethylene glycol | APOS, S","market for maleic anhydride | maleic anhydride | APOS, S","market for nylon 6 | nylon 6 | APOS, S","market for petroleum | petroleum | APOS, S","market for polyethylene, linear low density, granulate | polyethylene, linear low density, granulate | APOS, S","market for polypropylene, granulate | polypropylene, granulate | APOS, S","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | APOS, S","market group for electricity, medium voltage | electricity, medium voltage | APOS, S","market group for heat, district or industrial, natural gas | heat, district or industrial, natural gas | APOS, S",multilayer film production,Pyrolysis,STRAP
,,,,,,,,,Product name,multilayer film,multilayer film waste,Bracket Waste,multilayer film waste,multilayer film waste,Bracket Waste,charcoal,"electricity, for reuse in municipal waste incineration only",ethylene glycol,maleic anhydride,nylon 6,petroleum,"polyethylene, linear low density, granulate","polypropylene, granulate","transport, freight, lorry 7.5-16 metric ton, EURO6","electricity, medium voltage","heat, district or industrial, natural gas",multilayer film,multilayer film waste,multilayer film waste
,,,,,,,,,Multi-Output process,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
,,,,,,,,,UUID,3a017a81-50f7-4a19-b71c-106d1b57115e,36e9153c-f08a-4edf-8aae-80eef6f20e3d,bea25bec-19b3-45e7-8207-196c8faf79e6,36e9153c-f08a-4edf-8aae-80eef6f20e3d,36e9153c-f08a-4edf-8aae-80eef6f20e3d,bea25bec-19b3-45e7-8207-196c8faf79e6,8397cd58-0950-4853-ba0e-97ad2a279edb,637ee275-a239-4dcb-b084-abfa110dd65b,4052f31f-cd94-4b86-b075-210914586a0f,4c2b6470-79f6-40e4-b6c0-08a769c9ab04,d16b5d3f-b5e4-45b6-9a04-23cde05220c0,e6aad2de-0b1b-49c3-a0c4-797ba34d87e5,ff4734a5-a4a6-4960-bfbd-febae7a64f65,66ca2f38-5e51-4546-83c0-d7cef0c55c7c,73585052-b3e9-4cde-832d-2db3272d2ae5,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,1125e767-7b5d-442e-81d6-9b0d3e1919ac,3a017a81-50f7-4a19-b71c-106d1b57115e,36e9153c-f08a-4edf-8aae-80eef6f20e3d,36e9153c-f08a-4edf-8aae-80eef6f20e3d
,,,,,,,,,Infrastructure product,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
,,,,,,,,,Process location,,,AF,AF,,,GLO,RoW,GLO,GLO,RoW,GLO,GLO,GLO,RoW,US,GLO,,,
,,,,,,,,,Process category,Z2: REMADE,Z2: REMADE,Z2: REMADE,Z2: REMADE,Z2: REMADE,Z2: REMADE,022:Logging,382:Waste treatment and disposal,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",061:Extraction of crude petroleum,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",492:Other land transport,"351:Electric power generation, transmission and distribution",353:Steam and air conditioning supply,Z2: REMADE,Z2: REMADE,Z2: REMADE
,,,,,,,,,Process sub category,,,,,,,0220:Logging,3821:Treatment and disposal of non-hazardous waste,2011:Manufacture of basic chemicals,2011:Manufacture of basic chemicals,2013:Manufacture of plastics and synthetic rubber in primary forms,0610:Extraction of crude petroleum,2013:Manufacture of plastics and synthetic rubber in primary forms,2013:Manufacture of plastics and synthetic rubber in primary forms,4923:Freight transport by road,"3510:Electric power generation, transmission and distribution",3530:Steam and air conditioning supply,,,
,,,,,,,,,Product/Service unit,,,,,,,,,,,,,,,,,,,,
Process name,Product name,Multi-Output process,UUID,Infrastructure product,Process location,Process category,Process sub category,Product/Service unit,,,,,,,,,,,,,,,,,,,,,
consumer (combined scenario-with recycling model),multilayer film,false,3a017a81-50f7-4a19-b71c-106d1b57115e,false,,Z2: REMADE,,,,1000,,,,,,,,,,,,,,,,,,,
Downcycling (with recycling model),multilayer film waste,false,36e9153c-f08a-4edf-8aae-80eef6f20e3d,false,,Z2: REMADE,,,,1000,-1000,,,,,,,,,,,,,,,,,,
Incineration (for downcycling eol),Bracket Waste,false,bea25bec-19b3-45e7-8207-196c8faf79e6,false,AF,Z2: REMADE,,,,,1000,-0.9118,,,,,,,,,,,,,,,,,
Incineration (with recovery - film),multilayer film waste,false,36e9153c-f08a-4edf-8aae-80eef6f20e3d,false,AF,Z2: REMADE,,,,1000,,,-0.918,,,,,,,,,,,,,,,,
Landfill,multilayer film waste,false,36e9153c-f08a-4edf-8aae-80eef6f20e3d,false,,Z2: REMADE,,,,1000,,,,-1,,,,,,,,,,,,,,,
Landfill (for downcycling eol),Bracket Waste,false,bea25bec-19b3-45e7-8207-196c8faf79e6,false,,Z2: REMADE,,,,,1000,,,,-1,,,,,,,,,,,,,,
"market for charcoal | charcoal | APOS, S",charcoal,false,8397cd58-0950-4853-ba0e-97ad2a279edb,false,GLO,022:Logging,0220:Logging,,,,,,,,,1,,,,,,,,,,,,80,
"market for electricity, for reuse in municipal waste incineration only | electricity, for reuse in municipal waste incineration only | APOS, S","electricity, for reuse in municipal waste incineration only",false,637ee275-a239-4dcb-b084-abfa110dd65b,false,RoW,382:Waste treatment and disposal,3821:Treatment and disposal of non-hazardous waste,,,,,3.6,3.6,,,,3.6,,,,,,,,,,,,
"market for ethylene glycol | ethylene glycol | APOS, S",ethylene glycol,false,4052f31f-cd94-4b86-b075-210914586a0f,false,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2011:Manufacture of basic chemicals,,,,,,,,,,,1,,,,,,,,,,,-23
"market for maleic anhydride | maleic anhydride | APOS, S",maleic anhydride,false,4c2b6470-79f6-40e4-b6c0-08a769c9ab04,false,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2011:Manufacture of basic chemicals,,,,,,,,,,,,1,,,,,,,,-0.94,,
"market for nylon 6 | nylon 6 | APOS, S",nylon 6,false,d16b5d3f-b5e4-45b6-9a04-23cde05220c0,false,RoW,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,,,,,,,,,,,1,,,,,,,-289,,260
"market for petroleum | petroleum | APOS, S",petroleum,false,e6aad2de-0b1b-49c3-a0c4-797ba34d87e5,false,GLO,061:Extraction of crude petroleum,0610:Extraction of crude petroleum,,,,,,,,,,,,,,1,,,,,,,740.4,
"market for polyethylene, linear low density, granulate | polyethylene, linear low density, granulate | APOS, S","polyethylene, linear low density, granulate",false,ff4734a5-a4a6-4960-bfbd-febae7a64f65,false,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,,,,,,,,,,,,,1,,,,,-821,,740
"market for polypropylene, granulate | polypropylene, granulate | APOS, S","polypropylene, granulate",false,66ca2f38-5e51-4546-83c0-d7cef0c55c7c,false,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,,1000,,,,,,,,,,,,1,,,,,,
"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | APOS, S","transport, freight, lorry 7.5-16 metric ton, EURO6",false,73585052-b3e9-4cde-832d-2db3272d2ae5,false,RoW,492:Other land transport,4923:Freight transport by road,,,-264,,,,,,,,,,,,,,1,,,,,
"market group for electricity, medium voltage | electricity, medium voltage | APOS, S","electricity, medium voltage",false,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,false,US,"351:Electric power generation, transmission and distribution","3510:Electric power generation, transmission and distribution",,,,-1,,,,,,,,,,,,,,3.6,,-3240,,-648
"market group for heat, district or industrial, natural gas | heat, district or industrial, natural gas | APOS, S","heat, district or industrial, natural gas",false,1125e767-7b5d-442e-81d6-9b0d3e1919ac,false,GLO,353:Steam and air conditioning supply,3530:Steam and air conditioning supply,,,,,,,,,,,,,,,,,,,1,,,-3.5136
multilayer film production,multilayer film,false,3a017a81-50f7-4a19-b71c-106d1b57115e,false,,Z2: REMADE,,,,-1000,,,,,,,,,,,,,,,,,1000,,
Pyrolysis,multilayer film waste,false,36e9153c-f08a-4edf-8aae-80eef6f20e3d,false,,Z2: REMADE,,,,1000,,,,,,,,,,,,,,,,,,-1000,
STRAP,multilayer film waste,false,36e9153c-f08a-4edf-8aae-80eef6f20e3d,false,,Z2: REMADE,,,,1000,,,,,,,,,,,,,,,,,,,-1000
